HistoricalDate,Index Name,INDEX_NAME,OPEN,HIGH,LOW,CLOSE
2016-12-13,Nifty Bank,Nifty Bank,18354.1,18492.85,18291.35,18466.00
2016-12-14,Nifty Bank,Nifty Bank,18480.35,18485.45,18322.9,18341.00
2016-12-15,Nifty Bank,Nifty Bank,18143.5,18532,18122.1,18401.00
2016-12-16,Nifty Bank,Nifty Bank,18417.9,18428.45,18268.3,18312.00
2016-12-19,Nifty Bank,Nifty Bank,18258.1,18316.8,18215.5,18257.00
2016-12-20,Nifty Bank,Nifty Bank,18264.1,18274.9,18009.8,18069.00
2016-12-21,Nifty Bank,Nifty Bank,18124.6,18167.15,18043.95,18084.00
2016-12-22,Nifty Bank,Nifty Bank,18027,18029.6,17839.75,17891.00
2016-12-23,Nifty Bank,Nifty Bank,17849.25,17962.3,17819.75,17884.00
2016-12-26,Nifty Bank,Nifty Bank,17825.5,17860.85,17606.9,17655.00
2016-12-27,Nifty Bank,Nifty Bank,17677.7,17907.35,17616.1,17879.00
2016-12-28,Nifty Bank,Nifty Bank,17929.2,18059.65,17829.15,17876.00
2016-12-29,Nifty Bank,Nifty Bank,17861.45,18053.3,17829.4,18033.00
2016-12-30,Nifty Bank,Nifty Bank,18026.35,18245.75,18016.8,18177.00
2017-01-02,Nifty Bank,Nifty Bank,18242.3,18249,17844.9,17969.00
2017-01-03,Nifty Bank,Nifty Bank,18002.75,18115.05,17830.95,18035.00
2017-01-04,Nifty Bank,Nifty Bank,18037.45,18092.85,17868.9,17891.00
2017-01-05,Nifty Bank,Nifty Bank,18000.75,18164.05,17977.8,18115.00
2017-01-06,Nifty Bank,Nifty Bank,18168.45,18325.5,18157.3,18264.00
2017-01-09,Nifty Bank,Nifty Bank,18314.25,18373.1,18256.15,18286.00
2017-01-10,Nifty Bank,Nifty Bank,18351.45,18441.15,18275.75,18409.00
2017-01-11,Nifty Bank,Nifty Bank,18535.35,18889.45,18515.25,18830.00
2017-01-12,Nifty Bank,Nifty Bank,18885.45,18966.3,18805.85,18873.00
2017-01-13,Nifty Bank,Nifty Bank,18949.7,18952.25,18781.25,18912.00
2017-01-16,Nifty Bank,Nifty Bank,18899.7,19134.5,18865.25,19096.00
2017-01-17,Nifty Bank,Nifty Bank,19128.15,19202.25,18981.85,19067.00
2017-01-18,Nifty Bank,Nifty Bank,19074.85,19276.5,19072.1,19164.00
2017-01-19,Nifty Bank,Nifty Bank,19165.35,19185.3,19046.1,19124.00
2017-01-20,Nifty Bank,Nifty Bank,18996.6,19071.65,18793.05,18820.00
2017-01-23,Nifty Bank,Nifty Bank,18762,18909.65,18722.85,18842.00
2017-01-24,Nifty Bank,Nifty Bank,18931,19054.3,18906.95,19023.00
2017-01-25,Nifty Bank,Nifty Bank,19120.05,19518.45,19114.15,19473.00
2017-01-27,Nifty Bank,Nifty Bank,19588.4,19794.95,19534.9,19708.00
2017-01-30,Nifty Bank,Nifty Bank,19718.8,19767.05,19561.1,19585.00
2017-01-31,Nifty Bank,Nifty Bank,19533.2,19624.1,19435.45,19515.00
2017-02-01,Nifty Bank,Nifty Bank,19522.4,20047.85,19470.95,20020.00
2017-02-02,Nifty Bank,Nifty Bank,20053.95,20146.9,19915.2,20070.00
2017-02-03,Nifty Bank,Nifty Bank,20061.9,20229.65,20009.95,20196.00
2017-02-06,Nifty Bank,Nifty Bank,20307.15,20462.45,20298.05,20371.00
2017-02-07,Nifty Bank,Nifty Bank,20367.3,20426.95,20281.5,20327.00
2017-02-08,Nifty Bank,Nifty Bank,20335.25,20362.8,20070.15,20245.00
2017-02-09,Nifty Bank,Nifty Bank,20312.65,20406.6,20000.35,20151.00
2017-02-10,Nifty Bank,Nifty Bank,20225.75,20310,20167.1,20213.00
2017-02-13,Nifty Bank,Nifty Bank,20273.65,20308.7,20116.9,20251.00
2017-02-14,Nifty Bank,Nifty Bank,20304.5,20314.05,20158.85,20258.00
2017-02-15,Nifty Bank,Nifty Bank,20282.1,20368.2,20115.85,20163.00
2017-02-16,Nifty Bank,Nifty Bank,20243.25,20295.55,20088.2,20243.00
2017-02-17,Nifty Bank,Nifty Bank,20918.45,21042.35,20449.65,20551.00
2017-02-20,Nifty Bank,Nifty Bank,20494.85,20702.6,20472.4,20677.00
2017-02-21,Nifty Bank,Nifty Bank,20695.9,20903.35,20619.25,20860.00
2017-02-22,Nifty Bank,Nifty Bank,20937.6,20958.25,20829.65,20868.00
2017-02-23,Nifty Bank,Nifty Bank,20887.65,21011.9,20828.4,20876.00
2017-02-27,Nifty Bank,Nifty Bank,20853.45,20853.45,20584.75,20613.00
2017-02-28,Nifty Bank,Nifty Bank,20632.85,20681.3,20560.6,20607.00
2017-03-01,Nifty Bank,Nifty Bank,20698.9,20833.75,20678.75,20783.00
2017-03-02,Nifty Bank,Nifty Bank,20885,20905,20516.9,20560.00
2017-03-03,Nifty Bank,Nifty Bank,20572.85,20580.45,20423.35,20495.00
2017-03-06,Nifty Bank,Nifty Bank,20548.95,20727.5,20532.2,20663.00
2017-03-07,Nifty Bank,Nifty Bank,20685.95,20701.25,20585.95,20627.00
2017-03-08,Nifty Bank,Nifty Bank,20630.15,20715.2,20534.25,20676.00
2017-03-09,Nifty Bank,Nifty Bank,20620.55,20780.25,20603.9,20721.00
2017-03-10,Nifty Bank,Nifty Bank,20825.9,20876.95,20648.8,20727.00
2017-03-14,Nifty Bank,Nifty Bank,21189.85,21274.45,21059.7,21102.00
2017-03-15,Nifty Bank,Nifty Bank,21089.4,21216.9,21063.95,21157.00
2017-03-16,Nifty Bank,Nifty Bank,21237.5,21289.8,21194.25,21249.00
2017-03-17,Nifty Bank,Nifty Bank,21308.45,21336.05,21127.95,21175.00
2017-03-20,Nifty Bank,Nifty Bank,21202.55,21202.55,21084.8,21110.00
2017-03-21,Nifty Bank,Nifty Bank,21110.65,21146.5,20967,21019.00
2017-03-22,Nifty Bank,Nifty Bank,20815.35,20899,20753.9,20781.00
2017-03-23,Nifty Bank,Nifty Bank,20848.75,20934.75,20775.35,20895.00
2017-03-24,Nifty Bank,Nifty Bank,20987.6,21174.1,20929.15,21122.00
2017-03-27,Nifty Bank,Nifty Bank,21178.1,21179.2,20979.55,21056.00
2017-03-28,Nifty Bank,Nifty Bank,21229,21264.95,21145,21225.00
2017-03-29,Nifty Bank,Nifty Bank,21291.45,21418.6,21255.75,21391.00
2017-03-30,Nifty Bank,Nifty Bank,21374.35,21696,21331.9,21620.00
2017-03-31,Nifty Bank,Nifty Bank,21551.85,21574.15,21414,21444.00
